src_mac,dst_mac,src_ip,dst_ip,protocol,timestamp,label
02:00:00:24:81:2e,02:00:00:7d:f0:5f,10.0.0.98,10.0.0.2,6,2025-05-03T11:35:13.460690,normal
02:00:00:a3:b9:dc,02:00:00:3f:40:b8,10.0.0.53,10.0.0.2,6,2025-05-03T11:35:13.461274,normal
02:00:00:68:3c:e2,02:00:00:49:09:0f,10.0.0.25,10.0.0.2,6,2025-05-03T11:35:13.461838,normal
02:00:00:cd:ec:2d,02:00:00:48:7e:f7,10.0.0.29,10.0.0.2,6,2025-05-03T11:35:13.462395,normal
02:00:00:31:55:5a,02:00:00:6e:f3:24,10.0.0.12,10.0.0.2,6,2025-05-03T11:35:13.462976,normal
02:00:00:90:74:dc,02:00:00:93:95:16,10.0.0.95,10.0.0.2,6,2025-05-03T11:35:13.463508,normal
02:00:00:3d:a1:4f,02:00:00:a0:48:b8,10.0.0.73,10.0.0.2,6,2025-05-03T11:35:13.464052,normal
02:00:00:25:2b:46,02:00:00:28:9e:09,10.0.0.87,10.0.0.2,6,2025-05-03T11:35:13.464596,normal
02:00:00:68:e4:43,02:00:00:08:96:8d,10.0.0.95,10.0.0.2,6,2025-05-03T11:35:13.465105,normal
02:00:00:8c:64:00,02:00:00:18:26:9f,10.0.0.77,10.0.0.2,6,2025-05-03T11:35:13.465862,normal
02:00:00:65:be:dd,02:00:00:b2:c0:fb,10.0.0.8,10.0.0.2,6,2025-05-03T11:35:13.466370,normal
02:00:00:7a:f0:1b,02:00:00:64:80:e8,10.0.0.19,10.0.0.2,6,2025-05-03T11:35:13.466888,normal
02:00:00:86:3c:43,02:00:00:8d:25:1c,10.0.0.49,10.0.0.2,6,2025-05-03T11:35:13.467384,normal
02:00:00:59:89:e9,02:00:00:60:f3:9f,10.0.0.8,10.0.0.2,6,2025-05-03T11:35:13.467917,normal
02:00:00:f5:4f:94,02:00:00:b0:00:0e,10.0.0.56,10.0.0.2,6,2025-05-03T11:35:13.468429,normal
02:00:00:f4:b9:74,02:00:00:f3:17:b2,10.0.0.98,10.0.0.2,6,2025-05-03T11:35:13.468984,normal
02:00:00:ab:5c:8e,02:00:00:bf:ba:8c,10.0.0.61,10.0.0.2,6,2025-05-03T11:35:13.469511,normal
02:00:00:34:0c:b2,02:00:00:2a:1e:0d,10.0.0.38,10.0.0.2,6,2025-05-03T11:35:13.470057,normal
02:00:00:03:2a:8d,02:00:00:44:1c:02,10.0.0.70,10.0.0.2,6,2025-05-03T11:35:13.470580,normal
02:00:00:75:ac:07,02:00:00:ed:fa:3f,10.0.0.36,10.0.0.2,6,2025-05-03T11:35:13.471088,normal
02:00:00:f4:6c:39,02:00:00:cf:44:05,10.0.0.77,10.0.0.2,6,2025-05-03T11:35:13.471607,normal
02:00:00:07:2b:89,02:00:00:46:50:14,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.472128,normal
02:00:00:a8:9d:1a,02:00:00:2a:1c:c0,10.0.0.60,10.0.0.2,6,2025-05-03T11:35:13.472636,normal
02:00:00:a7:a3:c1,02:00:00:e7:cb:ac,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.473174,normal
02:00:00:2b:b5:55,02:00:00:27:88:bc,10.0.0.8,10.0.0.2,6,2025-05-03T11:35:13.473747,normal
02:00:00:7a:ad:6f,02:00:00:1c:d2:50,10.0.0.3,10.0.0.2,6,2025-05-03T11:35:13.474262,normal
02:00:00:41:cb:ab,02:00:00:e2:30:03,10.0.0.88,10.0.0.2,6,2025-05-03T11:35:13.474808,normal
02:00:00:d6:12:4b,02:00:00:48:0b:28,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.475262,normal
02:00:00:4e:81:6c,02:00:00:53:69:23,10.0.0.92,10.0.0.2,6,2025-05-03T11:35:13.475770,normal
02:00:00:34:ec:1f,02:00:00:d9:fa:10,10.0.0.50,10.0.0.2,6,2025-05-03T11:35:13.476223,normal
02:00:00:40:07:9f,02:00:00:8b:2e:9f,10.0.0.98,10.0.0.2,6,2025-05-03T11:35:13.476708,normal
02:00:00:ac:bc:0d,02:00:00:10:e0:8d,10.0.0.65,10.0.0.2,6,2025-05-03T11:35:13.477164,normal
02:00:00:7b:cc:ed,02:00:00:5d:89:79,10.0.0.67,10.0.0.2,6,2025-05-03T11:35:13.477632,normal
02:00:00:ec:57:2c,02:00:00:40:55:37,10.0.0.66,10.0.0.2,6,2025-05-03T11:35:13.478113,normal
